etalab;finess;nom;;;;departement;region;ville;telephone;categorie;adresse
40002511;40001844;SARL PHARMACIE DE CERESTE;;BD;JEAN JAURES;4;ALPES DE HAUTE PROVENCE;04280 CERESTE;492790280;Pharmacie d'Officine;BD JEAN JAURES
40002529;40005225;INSTITUT DE FORMATION AIDE-SOIGNANT LYCEE BEAU DE ROCHAS;10;AV;DU MARECHAL LECLERC;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492310608;Ecoles Formant aux Professions Sanitaires;10 AV DU MARECHAL LECLERC
40002537;40001851;SELARL PHARMACIE MALISSART;77;AV;DE VERDUN;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492310745;Pharmacie d'Officine;77 AV DE VERDUN
40002545;40001877;EURL PHARMACIE DES LYS;;R;ELIE ROUX;4;ALPES DE HAUTE PROVENCE;04290 VOLONNE;492640517;Pharmacie d'Officine;R ELIE ROUX
40002552;40001885;PHARMACIE DU SOUBEYRAN;1;R;MARTIN BRET;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492720827;Pharmacie d'Officine;1 R MARTIN BRET
40002560;40001893;SELARL PHARMACIE 7ORTHOPHI;;IMP;des Réserves;4;ALPES DE HAUTE PROVENCE;04310 PEYRUIS;;Pharmacie d'Officine;IMP des Réserves
40002594;40001927;PHARMACIE DE L'HORLOGE;2;PL;DE L HORLOGE;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;492610377;Pharmacie d'Officine;2 PL DE L HORLOGE
40002602;40001935;EURL PHARMACIE DU CHATEAU;1;PL;CAMILLE REYMOND;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;492640028;Pharmacie d'Officine;1 PL CAMILLE REYMOND
40002610;40001943;PHARMACIE BLANC;;QUA;LA BOURGADE;4;ALPES DE HAUTE PROVENCE;04370 COLMARS LES ALPES;492834029;Pharmacie d'Officine;QUA LA BOURGADE
40002628;40002578;;9;BD;JEAN JAURES;4;ALPES DE HAUTE PROVENCE;04130 VOLX;492683061;Lieux de vie;9 BD JEAN JAURES
40002636;40001950;SARL PHARMACIE DU THEATRE;;ESP;MAX TROUCHE;4;ALPES DE HAUTE PROVENCE;04220 STE TULLE;492782031;Pharmacie d'Officine;ESP MAX TROUCHE
40002644;40001976;SELARL PHARMACIE BOETTI;;;LES SOUQUETS;4;ALPES DE HAUTE PROVENCE;04170 ST ANDRE LES ALPES;492890606;Pharmacie d'Officine;LES SOUQUETS
40002651;40001984;PHARMACIE PIETRI;22;BD;GASSENDI;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;;Pharmacie d'Officine;22 BD GASSENDI
40002677;40003790;PHARMACIE BERLANDI;;PL;DU VILLAGE;4;ALPES DE HAUTE PROVENCE;04240 ANNOT;492832001;Pharmacie d'Officine;PL DU VILLAGE
40002685;40001919;PHARMACIE GUILLAUME;30;CHE;DE ST BARTHELEMY;4;ALPES DE HAUTE PROVENCE;04210 VALENSOLE;492748046;Pharmacie d'Officine;30 CHE DE ST BARTHELEMY
40002693;40003311;PHARMACIE LUTHRINGER;6;BD;LATOURETTE;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;492750003;Pharmacie d'Officine;6 BD LATOURETTE
40002701;40002032;SARL PHARMACIE CENTRALE;3;TRA;DES SERRES;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492313171;Pharmacie d'Officine;3 TRA DES SERRES
40002719;40005134;;3;RTE;DU RESERVOIR ST JEAN;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;492363467;Lieux de vie;3 RTE DU RESERVOIR ST JEAN
40002727;40002040;SELARL PHARMACIE DE CASTELLANE;18;R;NATIONALE;4;ALPES DE HAUTE PROVENCE;04120 CASTELLANE;492836101;Pharmacie d'Officine;18 R NATIONALE
40002735;40002057;SNC PHARMACIE ESCALLIER;9;R;MANUEL;4;ALPES DE HAUTE PROVENCE;04400 BARCELONNETTE;492810443;Pharmacie d'Officine;9 R MANUEL
40002743;40002065;PHARMACIE MAGNAN;;AV;DES MARRONNIERS BAT A;4;ALPES DE HAUTE PROVENCE;04800 GREOUX LES BAINS;492720021;Pharmacie d'Officine;AV DES MARRONNIERS BAT A
40002750;40002073;SELARL PHARMACIE DE LA SAUNERIE;1;R;ARBAUD;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492877592;Pharmacie d'Officine;1 R ARBAUD
40002776;40002081;SELARL PHARMACIE DES THERMES;8;AV;DU 8 MAI 1945;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492323247;Pharmacie d'Officine;8 AV DU 8 MAI 1945
40002784;40002107;SELARL PHARMACIE NOUVELLE;12;R;DE LA LIBERTE;4;ALPES DE HAUTE PROVENCE;04190 LES MEES;492340334;Pharmacie d'Officine;12 R DE LA LIBERTE
40002800;40002123;EURL DAMIEN CASTANER;;PL;D ARMES;4;ALPES DE HAUTE PROVENCE;04140 SEYNE LES ALPES;492350020;Pharmacie d'Officine;PL D ARMES
40002826;40002131;SELARL PHARMACIE BUREAU;44;R;MANUEL;4;ALPES DE HAUTE PROVENCE;04400 BARCELONNETTE;492810039;Pharmacie d'Officine;44 R MANUEL
40002834;40002156;SNC PHARMACIE AILLAUD;33;ALL;LOUIS GARDIOL;4;ALPES DE HAUTE PROVENCE;04500 RIEZ;492778026;Pharmacie d'Officine;33 ALL LOUIS GARDIOL
40002842;40002164;EURL PHARMACIE CHEVALEYRE;12;R;D'ARSONVAL;4;ALPES DE HAUTE PROVENCE;04600 CHATEAU ARNOUX ST AUBAN;;Pharmacie d'Officine;12 R D'ARSONVAL
40002867;40003832;SELARL PHARMACIE DU BOURGUET;8;PL;DU BOURGUET;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;492750288;Pharmacie d'Officine;8 PL DU BOURGUET
40002875;40002180;SNC OLIVIER TOCHE;13;ALL;LEON MASSE;4;ALPES DE HAUTE PROVENCE;04700 ORAISON;492539063;Pharmacie d'Officine;13 ALL LEON MASSE
40002883;40002206;SELARL  PHARMACIE COMTE;49;BD;GASSENDI;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492321010;Pharmacie d'Officine;49 BD GASSENDI
40002891;40002214;SELARL PHARMACIE REY;165;R;DE PROVENCE;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;;Pharmacie d'Officine;165 R DE PROVENCE
40002909;40002859;;;CGNE;LA FISCOTTE;4;ALPES DE HAUTE PROVENCE;04220 STE TULLE;492721914;Lieux de vie;CGNE LA FISCOTTE
40002917;40002222;SELAS PHARMACIE DES ARCADES;8;AV;DES ARCADES;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;492626555;Pharmacie d'Officine;8 AV DES ARCADES
40002925;40003824;SELAS PHARMACIE GRANDE;37;R;GRANDE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492720008;Pharmacie d'Officine;37 R GRANDE
40002933;40004004;PHARMACIE BIBAL;8;AV;DE HAUTE PROVENCE;4;ALPES DE HAUTE PROVENCE;04350 MALIJAI;492340286;Pharmacie d'Officine;8 AV DE HAUTE PROVENCE
40003006;40002941;SELAS  PHARMACIE LES 4 CHEMINS;;RTE;NATIONALE 96;4;ALPES DE HAUTE PROVENCE;04130 VOLX;492784056;Pharmacie d'Officine;RTE NATIONALE 96
40003014;40002966;SELAS PHARMACIE DES FERRAGES;150;AV;MAJORAL ARNAUD;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492720088;Pharmacie d'Officine;150 AV MAJORAL ARNAUD
40003022;40002974;PHARMACIE BLANC-DOUMAS;;;CTRE DE LA STATION LA FOUX;4;ALPES DE HAUTE PROVENCE;04260 ALLOS;;Pharmacie d'Officine;CTRE DE LA STATION LA FOUX
40003030;40001729;PHARMACIE BUISSON-DUCHEMIN;;PL;MOREAU;4;ALPES DE HAUTE PROVENCE;04320 ENTREVAUX;493054006;Pharmacie d'Officine;PL MOREAU
40003055;40002990;SELAS  PHARMACIE BREMOND;;PL;DE LA REPUBLIQUE;4;ALPES DE HAUTE PROVENCE;04150 BANON;492732109;Pharmacie d'Officine;PL DE LA REPUBLIQUE
40003063;50006741;CENTRE DE SANTE DENTAIRE;5;AV;DE VERDUN BAT A LE RIVIERA;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492360365;Centre de Santé;5 AV DE VERDUN BAT A LE RIVIERA
40003071;40780215;SSIAD SAINT MICHEL;;AV;EUGENE BERNARD;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;492702900;Service de Soins Infirmiers A Domicile (S.S.I.A.D);AV EUGENE BERNARD
40003113;920033503;HEMODIALYSE DES ALPES AUTODIALYSE DE SISTERON;4;AV;DE LA LIBERATION;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;492612379;Structure d'Alternative à la dialyse en centre;4 AV DE LA LIBERATION
40003147;130804115;ESAT ATELIERS DU FOURNAS ANNEXE;25;R;DE L'ORIGAN;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492704848;Etablissement et Service d'Aide par le Travail (E.S.A.T.);25 R DE L'ORIGAN
40003196;40003170;CENTRE D'HEBERGEMENT & DE READAPTATION SOCIALE PORTE ACCUEIL;;;RD 96;4;ALPES DE HAUTE PROVENCE;04220 STE TULLE;465100138;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);RD 96
40003212;40788879;CENTRE D'ACTION MEDICO SOCIALE PRECOCE SECTEUR NORD CH DIGNE;;QUA;SAINT CHRISTOPHE;4;ALPES DE HAUTE PROVENCE;04003 DIGNE LES BAINS CEDEX;492301525;Centre Action Médico-Sociale Précoce (C.A.M.S.P.);QUA SAINT CHRISTOPHE
40003246;930028436;RESIDENCE L'HACIENDA;;;LE VILLAGE;4;ALPES DE HAUTE PROVENCE;04400 ST PONS;492813332;Etab.Accueil Non Médicalisé pour personnes handicapées;LE VILLAGE
40003253;750801318;;4;R;BORIS CYRULNIK;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492360386;Village d'Enfants;4 R BORIS CYRULNIK
40003303;40003295;PHARMACIE DE L'HOTEL DE VILLE;15;PL;DE L HOTEL DE VILLE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492720113;Pharmacie d'Officine;15 PL DE L HOTEL DE VILLE
40003329;40003279;;;;LE BOURGET;4;ALPES DE HAUTE PROVENCE;04400 FAUCON DE BARCELONNETTE;492812696;Lieux de vie;LE BOURGET
40003345;40003337;;;;CAMPAGNE MATHERONS;4;ALPES DE HAUTE PROVENCE;04700 ORAISON;492798032;Lieux de vie;CAMPAGNE MATHERONS
40003519;40003469;;;QUA;LA ROBERTE;4;ALPES DE HAUTE PROVENCE;04190 LES MEES;492764316;Lieux de vie;QUA LA ROBERTE
40003618;40003568;;;RTE;DEPARTEMENTALE 952;4;ALPES DE HAUTE PROVENCE;04120 ROUGON;492836749;Lieux de vie;RTE DEPARTEMENTALE 952
40003733;130804115;SERVICE SOUTIEN ET ACCOMPAGNEMENT DES TOURELLES;;R;DU DOCTEUR FOUSSIER;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492721973;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);R DU DOCTEUR FOUSSIER
40003741;40780215;SSIAD LE CROU DE BANE;;RTE;DE FORCALQUIER;4;ALPES DE HAUTE PROVENCE;04150 BANON;492732100;Service de Soins Infirmiers A Domicile (S.S.I.A.D);RTE DE FORCALQUIER
40003758;40780264;SSIAD LE VALENSOLEILLÉ;;CHE;DE LA CONDAMINE;4;ALPES DE HAUTE PROVENCE;04210 VALENSOLE;492741350;Service de Soins Infirmiers A Domicile (S.S.I.A.D);CHE DE LA CONDAMINE
40003774;40780173;SSIAD DE L'EHPAD RESIDENCE LE PARC;;QUA;DE LA SEDZ;4;ALPES DE HAUTE PROVENCE;04320 ENTREVAUX;493050044;Service de Soins Infirmiers A Domicile (S.S.I.A.D);QUA DE LA SEDZ
40003782;40003766;GCS DE LA VALLEE DU VAR ET SIEGE;;PARC;DE GLANDEVES;4;ALPES DE HAUTE PROVENCE;04320 ENTREVAUX;493053838;Groupement de coopération sanitaire de moyens;PARC DE GLANDEVES
40003808;40788879;IFSI DU CENTRE HOSPITALIER DE DIGNE LES BAINS;;QUA;SAINT CHRISTOPHE;4;ALPES DE HAUTE PROVENCE;04995 DIGNE LES BAINS CEDEX 9;492301615;Ecoles Formant aux Professions Sanitaires;QUA SAINT CHRISTOPHE
40003816;690048111;CENTRE DE SANTE MANOSQUE;;AV;MAJORAL ARNAUD PARC LUQUECE;4;ALPES DE HAUTE PROVENCE;04102 MANOSQUE CEDEX;492705880;Centre de Santé;AV MAJORAL ARNAUD PARC LUQUECE
40003899;920028560;L'OUSTAOU DE LURE;;MTE;DES OLIVIERS;4;ALPES DE HAUTE PROVENCE;04200 PEIPIN;492616210;Etablissement d'hébergement pour personnes âgées dépendantes;MTE DES OLIVIERS
40003956;50002211;GRETA ALPES PROVENCE-ANTENNE DE MANOSQUE-COLLEGE JEAN GIONO;;MTE;DES ADRECHS;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492727229;Ecoles Formant aux Professions Sociales;MTE DES ADRECHS
40003980;40000531;SERVICE D'ACCOMPAGNEMENT MEDICO SOCIAL POUR ADULTES HANDICAP;;QUA;LA BAUDINE;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;492707300;Service d'accompagnement médico-social adultes handicapés;QUA LA BAUDINE
40004012;40000283;DITEP LE PARC;;;VILLAGE;4;ALPES DE HAUTE PROVENCE;04660 CHAMPTERCIER;492313402;Institut Thérapeutique Éducatif et Pédagogique (I.T.E.P.);VILLAGE
40004038;130804115;;3;CHE;SAINT MARCELLIN;4;ALPES DE HAUTE PROVENCE;04310 PEYRUIS;492305305;Etab.Acc.Médicalisé en tout ou partie personnes handicapées;3 CHE SAINT MARCELLIN
40004061;40786568;;77;BD;GASSENDI;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492361102;Ctre.Accueil/ Accomp.Réduc.Risq.Usag. Drogues (C.A.A.R.U.D.);77 BD GASSENDI
40004079;130044092;;4;CHE;DU BELVEDERE;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492346387;Service d'accompagnement médico-social adultes handicapés;4 CHE DU BELVEDERE
40004087;60020443;;4;CHE;DU BELVEDERE;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492326232;Service d'accompagnement médico-social adultes handicapés;4 CHE DU BELVEDERE
40004095;130804115;;3;CHE;SAINT MARCELLIN;4;ALPES DE HAUTE PROVENCE;04310 PEYRUIS;492305302;Service d'accompagnement médico-social adultes handicapés;3 CHE SAINT MARCELLIN
40004103;920718459;;12;ALL;DES GENETS;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;;Entreprise adaptée;12 ALL DES GENETS
40004129;40004111;;;;LE VILLAGE;4;ALPES DE HAUTE PROVENCE;04380 BARRAS;;Entreprise adaptée;LE VILLAGE
40004145;40004137;;;RTE;DE SAINT-JEAN;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;;Entreprise adaptée;RTE DE SAINT-JEAN
40004152;40003394;MAISON D'ACCUEIL RURALE POUR PERSONNES AGEES;224;R;DE LA REPUBLIQUE;4;ALPES DE HAUTE PROVENCE;04250 LA MOTTE DU CAIRE;492683613;Résidences autonomie;224 R DE LA REPUBLIQUE
40004186;40786568;CENTRE HEBERGEMENT ET REINSERTION SOCIALE APPASE;6;AV;DU MARECHAL LECLERC;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492314702;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);6 AV DU MARECHAL LECLERC
40004228;750056335;EHPAD LE VERDON;;RTE;DE RIEZ;4;ALPES DE HAUTE PROVENCE;04800 GREOUX LES BAINS;492705200;Etablissement d'hébergement pour personnes âgées dépendantes;RTE DE RIEZ
40004236;40786568;;4;R;DE L'ARTISANAT;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492320726;Etab.Accueil Non Médicalisé pour personnes handicapées;4 R DE L'ARTISANAT
40004269;40004251;CHRS ATELIER DES ORMEAUX;6;R;D'AUBETTE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492870507;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);6 R D'AUBETTE
40004277;750719239;;180;AV;REGIS RYCKEBUSH;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492717456;Service d'accompagnement médico-social adultes handicapés;180 AV REGIS RYCKEBUSH
40004293;750719239;;180;AV;REGIS RYCHEBUSH;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492717456;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);180 AV REGIS RYCHEBUSH
40004301;130035488;EHPAD LES JARDINS DU CIGALOUN;;CHE;DE SAINT JEAN;4;ALPES DE HAUTE PROVENCE;04130 VOLX;492709000;Etablissement d'hébergement pour personnes âgées dépendantes;CHE DE SAINT JEAN
40004327;40004319;LA MAISON DES ACACIAS (ACCUEIL JOUR AUTONOME);20;AV;DU GÉNÉRAL DE GAULLE;4;ALPES DE HAUTE PROVENCE;04310 PEYRUIS;492350906;Centre de Jour pour Personnes Agées;20 AV DU GÉNÉRAL DE GAULLE
40004335;750808511;CENTRE ACCUEIL DEMENDEUR ASILE ADOMA DIGNE LES BAINS;3;R;DE LA GRANDE FONTAINE;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;484200090;Centre Accueil Demandeurs Asile (C.A.D.A.);3 R DE LA GRANDE FONTAINE
40004350;40001026;LA MAISON DES OLIVIERS;57;IMP;FELIX TOUVAT;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492743813;Centre de Jour pour Personnes Agées;57 IMP FELIX TOUVAT
40004368;40000283;SERVICE M.J.P.M CHATEAU-ARNAUX;7;AV;BLACHES GOMBERT;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;492644819;Service mandataire judiciaire à la protection des majeurs;7 AV BLACHES GOMBERT
40004384;40004376;LBM CERBALLIANCE ALPES DURANCE SITE MANOSQUE;18;BD;DE LA PLAINE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492724483;Laboratoire de Biologie Médicale;18 BD DE LA PLAINE
40004392;40004376;LBM CERBALLIANCE ALPES DURANCE SITE ORAISON;;R;EMILE LATIL;4;ALPES DE HAUTE PROVENCE;04700 ORAISON;492798043;Laboratoire de Biologie Médicale;R EMILE LATIL
40004400;40004376;LBM CERBALLIANCE ALPES DURANCE SITE DU MANUESCA;;AV;DU DOCTEUR BERNARD FOUSSIER;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492724590;Laboratoire de Biologie Médicale;AV DU DOCTEUR BERNARD FOUSSIER
40004418;40004376;LBM CERBALLIANCE ALPES DURANCE PLATEAU TECHNIQUE HOPITAL;;AV;AUGUSTE GERARD;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492747474;Laboratoire de Biologie Médicale;AV AUGUSTE GERARD
40004434;40004426;SERVICE M.J.P.M. UDAF DE DIGNE-LES-BAINS;39;BD;VICTOR HUGO;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492305710;Service mandataire judiciaire à la protection des majeurs;39 BD VICTOR HUGO
40004475;40786568;MAISON RELAIS LE PREVOT;19;R;DU PRE;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492363822;Maisons Relais - Pensions de Famille;19 R DU PRE
40004491;40004483;MAISON RELAIS DIGNA;4;R;DE LA GRANDE FONTAINE;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492314049;Maisons Relais - Pensions de Famille;4 R DE LA GRANDE FONTAINE
40004509;750808511;RESIDENCE SOCIALE LA RAINETTE;342;AV;GEORGES POMPIDOU;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492734130;Autre Résidence Sociale (hors Maison Relais, Pension de Fami;342 AV GEORGES POMPIDOU
40004525;750808511;RESIDENCE SOCIALE L'AUBETTE;33;R;D'AUBETTE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492734130;Autre Résidence Sociale (hors Maison Relais, Pension de Fami;33 R D'AUBETTE
40004566;830018644;LBM EUROFINS LABAZUR ALPES SUD VAR SITE WETTERWALD;3;BD;ANDRE LACROIX;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;492641509;Laboratoire de Biologie Médicale;3 BD ANDRE LACROIX
40004574;830018644;LBM EUROFINS LABAZUR ALPES SUD VAR SITE CALVET;1;PL;DU TAMPINET;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;;Laboratoire de Biologie Médicale;1 PL DU TAMPINET
40004582;40000283;SERVICE DELEGUE AUX PRESTATIONS FAMILIALES A CHATEAU-ARNOUX;7;AV;BLACHES GOMBERT;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;492644819;Service délégué aux prestations familiales;7 AV BLACHES GOMBERT
40004590;40786568;APPARTEMENT DE COORDINATION THÉRAPEUTIQUE;;;;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;;Appartement de Coordination Thérapeutique (A.C.T.);
40004616;40004608;;250;R;DE L'AURORE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492822590;Etab.Accueil Non Médicalisé pour personnes handicapées;250 R DE L'AURORE
40004624;830018644;LBM EUROFINS LABAZUR ALPES SUD VAR SITE SISTERON;4;AV;PAUL ARENES;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;;Laboratoire de Biologie Médicale;4 AV PAUL ARENES
40004640;40004632;GCS DU BASSIN DIGNOIS ET SIEGE;;QUA;SAINT CHRISTOPHE;4;ALPES DE HAUTE PROVENCE;04003 DIGNE LES BAINS CEDEX;492301403;Groupement de coopération sanitaire de moyens;QUA SAINT CHRISTOPHE
40004673;40004665;;15;R;MERE DE DIEU;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492320869;Autre Centre d'Accueil;15 R MERE DE DIEU
40004681;40004665;;46;R;FRANCOIS CUZIN;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492360494;Autre Centre d'Accueil;46 R FRANCOIS CUZIN
40004707;40004970;;;AV;DE BERWICK;4;ALPES DE HAUTE PROVENCE;04400 BARCELONNETTE;492807900;Autre Centre d'Accueil;AV DE BERWICK
40004715;40004251;;6;R;D'AUBETTE;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;492877142;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);6 R D'AUBETTE
40004723;830018644;LBM EUROFINS LABAZUR ALPES SUD VAR SITE BARCELONNETTE;;AV;DES 3 FRERES ARNAUD;4;ALPES DE HAUTE PROVENCE;04400 BARCELONNETTE;;Laboratoire de Biologie Médicale;AV DES 3 FRERES ARNAUD
40004749;130039621;LBM SYNLAB PROVENCE SITE GREOUX/LILAS;9;R;DES LILAS;4;ALPES DE HAUTE PROVENCE;04800 GREOUX LES BAINS;;Laboratoire de Biologie Médicale;9 R DES LILAS
40004764;40004756;;;RTE;DU BRASK;4;ALPES DE HAUTE PROVENCE;04250 LA MOTTE DU CAIRE;492684872;Autre Centre d'Accueil;RTE DU BRASK
40004806;40004798;;;PL;DE L'EGLISE;4;ALPES DE HAUTE PROVENCE;04330 BARREME;492342843;Propharmacie;PL DE L'EGLISE
40004814;130039621;LBM SYNLAB PROVENCE SITE FORCALQUIER;;R;DU SOUVENIR FRANCAIS;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;492750792;Laboratoire de Biologie Médicale;R DU SOUVENIR FRANCAIS
40004822;130804115;;;QUA;EYREAUDS;4;ALPES DE HAUTE PROVENCE;04700 ORAISON;492703000;Etab.Accueil Non Médicalisé pour personnes handicapées;QUA EYREAUDS
40004830;130804115;;;QUA;EYREAUDS;4;ALPES DE HAUTE PROVENCE;04700 ORAISON;492703000;Etab.Accueil Non Médicalisé pour personnes handicapées;QUA EYREAUDS
40004855;40004848;MAISON DE SANTE PLURIPROFESSIONNELLE DE CASTELLANE;;CHE;DE LA RECLUSE;4;ALPES DE HAUTE PROVENCE;04120 CASTELLANE;492837740;Maison de santé (L.6223-3);CHE DE LA RECLUSE
40004871;40004863;MAISON DE SANTE PLURIPROFESSIONNELLE DE SAINTE TULLE;;AV;DE LA REPUBLIQUE;4;ALPES DE HAUTE PROVENCE;04220 STE TULLE;;Maison de santé (L.6223-3);AV DE LA REPUBLIQUE
40004889;40000531;FOYER D'ACCUEIL MEDICALISE SAINT JOSEPH;;AV;BURLIERES;4;ALPES DE HAUTE PROVENCE;04300 MANE;492750421;Etab.Acc.Médicalisé en tout ou partie personnes handicapées;AV BURLIERES
40004905;40004897;MAISON DE SANTE PLURIPROFESSIONNELLE DE SEYNE;;R;DU BARRI;4;ALPES DE HAUTE PROVENCE;04140 SEYNE LES ALPES;492352241;Maison de santé (L.6223-3);R DU BARRI
40004954;130007032;EQUIPE MOBILE DE SANTE VISUELLE EMSV 04/05;;R;DES HEURES CLAIRES;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;646150170;Centre de Santé;R DES HEURES CLAIRES
40004962;130039621;LBM SYNLAB PROVENCE SITE MANOSQUE;;AV;RYCKENBUSH;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;;Laboratoire de Biologie Médicale;AV RYCKENBUSH
40004996;40004988;MAISON DE SANTE DE DIGNE LES BAINS;3;R;DU TRELUS;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;;Maison de santé (L.6223-3);3 R DU TRELUS
40005027;40002958;;;;;4;ALPES DE HAUTE PROVENCE;04110 MONTFURON;492765720;Lieux de vie;
40005035;40788879;HJ CASA CH DIGNE;83;BD;VICTOR HUGO;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492322141;Centre Hospitalier (C.H.);83 BD VICTOR HUGO
40005043;40788879;HJ CH DIGNE;8;R;JULES ARNOUX;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;492312634;Centre Hospitalier (C.H.);8 R JULES ARNOUX
40005050;130046238;;14;ALL;DES ROMARINS;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;;Structure Dispensatrice à domicile d'Oxygène à usage médical;14 ALL DES ROMARINS
40005076;40005068;;;ZI;SAINT JOSEPH;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;;Structure Dispensatrice à domicile d'Oxygène à usage médical;ZI SAINT JOSEPH
40005084;830023297;;12;ALL;DES GENETS;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;;Structure Dispensatrice à domicile d'Oxygène à usage médical;12 ALL DES GENETS
40005100;40000515;;548;BD;MARECHAL JUIN;4;ALPES DE HAUTE PROVENCE;04107 MANOSQUE CEDEX;492874610;Etablissement Expérimental Enfance Protégée;548 BD MARECHAL JUIN
40005126;40005118;;;AV;JEAN GIONO;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;422535133;Service d'Aide et d'Accompagnement à Domicile (S.A.A.D.);AV JEAN GIONO
40005142;130804032;UNITE D'ACCOMPAGNEMENT EN MILIEU RURAL - SAVS;;;;4;ALPES DE HAUTE PROVENCE;04150 REVEST DU BION;;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);
40005183;40005175;;46;AV;JEAN MOULIN;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;;Maison de santé (L.6223-3);46 AV JEAN MOULIN
